DateTime,AddedIPs,RemovedIPs
1459123543,4,0
1459209939,5,0
1459296340,5,4
1459382740,4,10
1459469141,7,0
1459555544,3,4
1459641938,5,5
1459728341,3,10
1459814746,6,2
1459987544,6,13
1460073950,5,5
1460246756,6,0
1460333160,5,6
1460505964,4,4
1460592345,5,0
1460765149,10,20
1460937950,10,0
1461024341,5,10
1461197145,8,13
1461283542,7,0
1461369941,2,0
1461456341,6,7
1461542747,4,2
1461801945,5,15
1461974735,4,0
1462061139,5,4
1462147538,5,0
1462233944,5,5
1462320339,2,5
1462493142,5,12
1462665937,6,0
1462752342,5,6
1462838753,5,0
1462925147,6,10
1463011541,7,0
1463097935,1,4
1463184340,2,6
1463270741,1,3
1463357133,4,1
1463443536,3,2
1463529932,3,4
1463616335,8,7
1463702737,5,0
1463789140,5,4
1463875534,3,14
1463961940,3,0
1464048335,4,6
1464134741,7,0
1464307536,5,16
1464393934,4,0
1464480342,5,0
1464566741,7,4
1464653138,6,5
1464739540,3,16
1464912337,6,0
1465085144,4,6
1465257956,5,4
1465344351,4,5
1465517152,5,4
1465603564,5,5
1465689976,6,0
