DateTime,AddedIPs,RemovedIPs
1457679915,252,0
1457701937,246,0
1457723796,176,0
1457745680,131,661
1457767721,110,0
1457789797,72,0
1457811904,96,0
1457833964,132,0
1457856035,169,0
1457878100,67,0
1457899980,88,0
1457922027,170,0
1457944106,100,0
1457965987,121,0
1457988024,155,0
1458009902,124,0
1458031938,75,0
1458053782,87,0
1458075628,66,0
1458097480,58,0
1458119321,33,0
1458141421,56,0
1458163465,4052,0
1458185327,1704,0
1458207393,989,0
1458229466,30,0
1458251317,132,0
1458273375,1115,0
1458295251,22,0
1458317313,87,0
1458339187,39,0
1458361219,220,0
1458383062,156,0
1458404920,47,0
1458426765,16,0
1458448610,41,0
1458470660,30,0
1458492772,52,0
1458514828,208,0
1458536674,46,0
1458558531,189,0
1458580614,751,0
1458602466,68,0
1458624504,222,0
1458668425,1,0
1458756283,22,0
1458778126,1679,0
1458800178,1016,0
1458822033,178,0
1458843908,194,0
1458865974,91,0
1458888024,324,0
1458910125,248,0
1458931971,671,0
1458954050,324,0
1458976130,160,0
1458997983,213,0
1459020215,80,0
1459042098,211,0
1459063975,214,0
1459086060,76,0
1459108137,270,0
1459130010,264,0
1459152075,177,0
1459174126,356,0
1459196706,81,0
1459218777,226,0
1459240837,32,0
1459262706,58,0
1459284684,25,0
1459306595,307,0
1459328736,90,0
1459350594,279,0
1459372827,191,0
1459394853,749,0
1459416811,44,0
1459438839,1444,0
1459461091,297,0
1459482985,337,0
1459504872,631,0
1459526908,61,0
1459549058,16,0
1459570909,86,0
1459592921,111,0
1459614775,706,0
1459636874,66,0
1459658956,76,0
1459681005,40,0
1459703095,24,0
1459724938,64,0
1459747085,35,0
1459769062,68,0
1459790929,334,0
1459812786,110,0
1459834876,114,0
1459856921,31,0
1459878773,177,0
1459900833,73,0
1459922972,45,0
1459945062,55,0
1459967088,1873,0
1459988959,1878,0
1460011249,163,0
1460033302,488,0
1460055392,384,0
1460077274,321,0
1460099323,90,0
1460121191,379,0
1460143229,334,0
1460165100,118,0
1460187172,83,0
1460209227,132,0
1460231093,23,0
1460252958,44,0
1460274998,125,0
1460296853,49,0
1460318704,7,0
1460340552,32,117
1460362416,16,41
1460384773,38,18
1460406791,23,34
1460429079,61,48
1460450931,18,70
1460472991,39,26
1460494847,99,29
1460516929,271,42
1460538799,284,38
1460560891,368,43
1460582918,194,75
1460604780,176,76
1460626622,169,40
1460648674,534,56
1460670531,499,48
